City,Province,Latitude,Longitude,Price,Bedrooms,Bathrooms,Acreage,Property Type,Square Footage,Garage,Parking,Basement,Exterior,Fireplace,Heating,Flooring,Roof,Waterfront,Sewer,Pool,Garden,Balcony
Castlegar,BC,49.288034,-117.652184,449939.0,3.0,1.0,1.9,Single Family,1014.0,No,Yes,No basement,Vinyl,No,forced air,wood,metal,No,municipal,No,No,No
Kelowna,BC,49.8899634,-119.4875699,749000.0,2.0,2.0,0.07,Single Family,1408.0,No,No,No basement,Vinyl,Yes,heat pump,vinyl,asphalt,No,municipal,No,No,No
Spallumcheen,BC,50.3826523,-119.3060608,2780000.0,10.0,8.0,7.36,Single Family,7763.0,Yes,Yes,Finished,Composite,Yes,forced air,carpet,asphalt,No,septic,No,No,No
Salmon Arm,BC,50.6866555,-119.2965407,789900.0,3.0,3.0,0.1,Single Family,2484.0,Yes,No,Finished,Composite,Yes,forced air,carpet,asphalt,No,municipal,No,No,No
Vernon,BC,50.2347768,-119.3566503,1065900.0,3.0,3.0,0.2,Single Family,2271.0,Yes,No,Finished,Composite,Yes,forced air,vinyl,asphalt,No,municipal,No,No,No
Vernon,BC,50.1900826,-119.4002228,2499900.0,5.0,4.0,0.16,Single Family,3776.0,Yes,No,Finished,Metal,Yes,forced air,carpet,tar,No,municipal,No,No,No
Kamloops,BC,50.6540346,-120.3469644,1299900.0,6.0,5.0,0.18,Single Family,3378.0,Yes,No,Finished,Wood,Yes,forced air,other,asphalt,No,municipal,No,No,No
Kelowna,BC,49.804401,-119.4698893,1279000.0,4.0,4.0,0.11,Single Family,2631.0,Yes,No,Finished,Composite,Yes,forced air,wood,asphalt,No,municipal,No,No,No
Westbank,BC,49.8399865,-119.6185053,775000.0,3.0,3.0,0.0,Single Family,2942.0,Yes,No,Finished,Concrete,Yes,forced air,vinyl,asphalt,No,municipal,No,No,No
West Kelowna,BC,49.8464109,-119.568979,1385000.0,5.0,3.0,0.33,Single Family,2901.0,Yes,No,Finished,Concrete,Yes,forced air,carpet,asphalt,No,municipal,No,No,No
Merritt,BC,50.1601753,-120.8760605,884000.0,4.0,2.0,1.84,Single Family,2416.0,Yes,Yes,Finished,Vinyl,Yes,forced air,other,asphalt,No,none,No,No,No
Armstrong,BC,50.440403,-119.2060318,479000.0,4.0,3.0,0.0,Single Family,1567.0,No,Yes,Finished,Concrete,Yes,forced air,carpet,asphalt,No,municipal,No,No,No
Kamloops,BC,50.6702664,-120.3179787,749000.0,4.0,2.0,0.09,Single Family,2128.0,No,No,Finished,Vinyl,No,forced air,other,asphalt,No,municipal,No,No,No
Vernon,BC,50.3038979,-119.2097931,799999.0,3.0,3.0,0.4,Single Family,1934.0,Yes,No,Finished,Concrete,Yes,forced air,tile,asphalt,No,none,No,No,No
Kelowna,BC,49.9167187,-119.3422655,1450000.0,6.0,4.0,0.13,Single Family,4125.0,Yes,No,Finished,Composite,Yes,forced air,tile,asphalt,No,municipal,No,No,No
Kamloops,BC,50.6555967,-120.2246835,1224900.0,6.0,3.0,0.23,Single Family,3361.0,Yes,Yes,Finished,Brick,Yes,forced air,carpet,asphalt,No,municipal,No,No,No
Kamloops,BC,50.7138481,-120.360671,698000.0,5.0,2.0,0.15,Single Family,2092.0,Yes,Yes,Finished,Concrete,No,forced air,other,asphalt,No,municipal,No,No,No
